,artist,number_of_songs
264990,Glee Cast,183
251137,Taylor Swift,163
264978,Drake,124
308081,YoungBoy Never Broke Again,75
27880,The Beatles,65
16545,Aretha Franklin,64
63031,Elton John,58
29835,The Rolling Stones,57
236351,Kanye West,56
30565,Stevie Wonder,54
18639,The Beach Boys,54
283205,The Weeknd,53
280383,Future,53
130994,Madonna,53
40827,Neil Diamond,52
1629,Connie Francis,51
3318,Elvis Presley With The Jordanaires,51
1634,Elvis Presley,50
8846,The Temptations,49
265981,Justin Bieber,49
235561,Beyonce,48
7715,Ray Charles,48
7350,Brenda Lee,48
185169,Tim McGraw,47
11843,James Brown,47
67072,Rod Stewart,47
22665,Dionne Warwick,47
207280,Kenny Chesney,46
57702,Chicago,46
1709,Jackie Wilson,46
1897,Brook Benton,44
211422,Eminem,43
45915,Bee Gees,43
19915,Bobby Vinton,43
31452,Four Tops,43
1632,Fats Domino,42
319442,Rod Wave,42
2976,Frank Sinatra,41
68606,Michael Jackson,41
80793,Billy Joel,41
309112,Lil Baby,41
1796,Paul Anka,41
311847,Juice WRLD,40
286051,Ariana Grande,39
1757,Bobby Darin,39
301600,Lil Uzi Vert,39
14332,Gladys Knight And The Pips,38
1888,Andy Williams,38
218610,Keith Urban,38
16570,The Impressions,38
270679,J. Cole,38
24628,Wilson Pickett,38
2172,James Brown And The Famous Flames,37
22045,Marvin Gaye,37
5766,The Isley Brothers,37
217658,Rascal Flatts,36
181788,Toby Keith,35
183258,George Strait,35
298032,Post Malone,34
245197,Jason Aldean,34
244587,Carrie Underwood,34
7886,Bobby Bland,34
80732,Daryl Hall John Oates,34
29348,Barbra Streisand,34
229030,Lil Wayne,33
314880,Bad Bunny,33
212474,Brad Paisley,33
1798,Sam Cooke,33
60921,Diana Ross,33
4115,Al Martino,33
35965,Cher,32
11722,Jerry Butler,32
16596,Glen Campbell,32
281886,Kendrick Lamar,32
57616,Kool & The Gang,32
139238,Whitney Houston,32
255547,Luke Bryan,32
165929,Mariah Carey,32
245141,Chris Brown,31
66750,Olivia Newton-John,31
9171,Bobby Vee,31
223269,Blake Shelton,31
