,artist,top_10_count
5702,Madonna,36
8424,Taylor Swift,35
8570,The Beatles,33
8210,Stevie Wonder,25
6074,Michael Jackson,24
2743,Elton John,23
9296,The Rolling Stones,23
5765,Mariah Carey,22
2528,Drake,22
10110,Whitney Houston,21
1600,Chicago,20
4029,Janet Jackson,19
458,Aretha Franklin,16
2132,Daryl Hall John Oates,16
7416,Rihanna,15
1844,Connie Francis,15
8569,The Beach Boys,15
739,Bee Gees,15
5859,Marvin Gaye,14
9413,The Supremes,14
7503,Rod Stewart,14
9434,The Temptations,14
2758,Elvis Presley With The Jordanaires,14
6693,P!nk,13
903,Billy Joel,13
5065,Lady Gaga,13
1189,Brenda Lee,13
6416,Neil Diamond,12
2476,Donna Summer,12
6906,Phil Collins,12
3347,George Michael,12
6631,Olivia Newton-John,12
5407,Lionel Richie,12
1448,Carpenters,12
3721,Huey Lewis & The News,12
2773,Eminem,12
1261,Bruce Springsteen,12
4987,Kool & The Gang,12
9587,Three Dog Night,11
2606,Duran Duran,11
706,Barry Manilow,11
4801,Kelly Clarkson,11
1578,Cher,11
2343,Diana Ross,11
3658,Herman's Hermits,11
1101,Bon Jovi,10
7076,Prince,10
5805,Maroon 5,10
2397,Dionne Warwick,10
4750,Katy Perry,10
8585,The Black Eyed Peas,10
1834,Commodores,10
1217,Britney Spears,10
2638,Eagles,10
8809,The Everly Brothers,10
9929,Usher,10
3091,Foreigner,9
3625,Heart,9
3048,Fleetwood Mac,9
1904,Creedence Clearwater Revival,9
4635,Justin Timberlake,9
1263,Bruno Mars,9
1095,Bobby Vinton,9
6464,New Kids On The Block,9
2327,Destiny's Child,9
4479,Johnny Rivers,9
7367,Richard Marx,9
7594,Roy Orbison,9
1265,Bryan Adams,9
2757,Elvis Presley,9
790,Beyonce,9
8369,TLC,9
1153,Boyz II Men,9
223,Aerosmith,8
8740,The Dave Clark Five,8
8509,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",8
6161,Miley Cyrus,8
8232,Styx,8
5389,Linda Ronstadt,8
7942,Simon & Garfunkel,8
6418,Neil Sedaka,8
218,Adele,8
10154,Wings,8
3854,J. Cole,8
2657,Ed Sheeran,8
1055,Bobby Darin,8
1047,Bobby Brown,8
2912,Expose,8
468,Ariana Grande,8
1497,Celine Dion,8
3935,Jackson 5,8
1938,Cyndi Lauper,8
238,Air Supply,8
7245,Ray Charles,7
8421,Taylor Dayne,7
7412,Ricky Nelson,7
1685,Christina Aguilera,7
4606,Justin Bieber,7
7159,R. Kelly,7
1627,Chris Brown,7
7431,Ringo Starr,7
8511,The 5th Dimension,7
8507,The 4 Seasons,7
6778,Paul Anka,7
909,Billy Ocean,7
691,Barbra Streisand,7
9065,The Lovin' Spoonful,7
9224,The Pointer Sisters,7
9514,The Weeknd,7
347,America,7
9682,Tommy James And The Shondells,7
256,Al Green,7
6821,Paula Abdul,7
4691,Kanye West,7
2390,Dion,7
4385,John Denver,7
3397,Gladys Knight And The Pips,7
3324,Genesis,7
3289,Gary Lewis And The Playboys,7
3744,INXS,7
6064,Michael Bolton,7
3101,Four Tops,7
6245,Monica,7
3616,Harry Styles,7
9639,Tina Turner,6
9225,The Police,6
8934,The Hollies,6
3636,Helen Reddy,6
9079,The Mamas & The Papas,6
4412,John Mellencamp,6
10096,Wham!,6
9124,The Monkees,6
9171,The O'Jays,6
10059,War,6
4664,KC And The Sunshine Band,6
9283,The Righteous Brothers,6
4761,Ke$ha,6
614,BTS,6
9351,The Shirelles,6
9382,The Spinners,6
9900,U2,6
8911,The Guess Who,6
9698,Toni Braxton,6
9687,Tommy Roe,6
382,Andy Gibb,6
3931,Jackie Wilson,6
4859,Kenny Rogers,6
5446,Little River Band,6
639,Backstreet Boys,6
711,Barry White,6
6646,One Direction,6
6894,"Peter, Paul & Mary",6
6896,Petula Clark,6
2529,Drake & 21 Savage,6
6992,Poison,6
1924,Culture Club,6
7079,Prince And The Revolution,6
6490,Nickelback,6
2644,"Earth, Wind & Fire",6
1712,Chubby Checker,6
2719,Electric Light Orchestra,6
6409,Ne-Yo,6
7587,Roxette,6
7886,Sheena Easton,6
1402,Captain & Tennille,6
8204,Steve Winwood,6
1230,Brook Benton,6
1180,Bread,6
1171,Brandy,6
1081,Bobby Rydell,6
5835,Martha & The Vandellas,6
3544,Guns N' Roses,6
6800,Paul McCartney And Wings,6
4543,Journey,6
